date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/26/2021,ARKW,"TESLA INC",TSLA,88160R101,742188.00,655418800.92,9.79
1/26/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,1062953.00,304249037.19,4.54
1/26/2021,ARKW,"ROKU INC",ROKU,77543R102,718569.00,289870734.60,4.33
1/26/2021,ARKW,"SQUARE INC - A",SQ,852234103,1174376.00,245644227.92,3.67
1/26/2021,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,2624012.00,242353748.32,3.62
1/26/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,6981647.00,219831119.09,3.28
1/26/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,601974.00,202871257.74,3.03
1/26/2021,ARKW,"NETFLIX INC",NFLX,64110L106,312062.00,175356999.66,2.62
1/26/2021,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,547866.00,154525605.30,2.31
1/26/2021,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,1439799.00,154044095.01,2.30
1/26/2021,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,6536496.00,147136524.96,2.20
1/26/2021,ARKW,"SEA LTD-ADR",SE,81141R100,635511.00,138045699.42,2.06
1/26/2021,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1221483.00,137600059.95,2.05
1/26/2021,ARKW,"AGORA INC-ADR",API,00851L103,2490418.00,137246935.98,2.05
1/26/2021,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,555539.00,133884899.00,2.00
1/26/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,347022.00,129921566.58,1.94
1/26/2021,ARKW,"HUYA INC-ADR",HUYA,44852D108,4710087.00,126041928.12,1.88
1/26/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,350156.00,124357903.40,1.86
1/26/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,891755.00,124194718.85,1.85
1/26/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,105714.00,122603925.78,1.83
1/26/2021,ARKW,"LENDINGTREE INC","TREE UW",52603B107,354957.00,119212308.45,1.78
1/26/2021,ARKW,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,4000604.00,110816730.80,1.65
1/26/2021,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1564459.00,108323141.16,1.62
1/26/2021,ARKW,"DOCUSIGN INC",DOCU,256163106,455647.00,107127166.17,1.60
1/26/2021,ARKW,"PAGERDUTY INC",PD,69553P100,2226551.00,106629527.39,1.59
1/26/2021,ARKW,"BAIDU INC - SPON ADR",BIDU,056752108,426895.00,105998028.50,1.58
1/26/2021,ARKW,"SNAP INC - A",SNAP,83304A106,1800834.00,95966443.86,1.43
