date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/26/2021,ARKW,"NVIDIA CORP",NVDA,67066G104,174686.00,93878003.26,1.40
1/26/2021,ARKW,"KE HOLDINGS INC",BEKE,482497104,1453991.00,92648306.52,1.38
1/26/2021,ARKW,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,686570.00,86954090.50,1.30
1/26/2021,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,324584.00,86313377.28,1.29
1/26/2021,ARKW,"VERACYTE INC",VCYT,92337F107,1645791.00,86519232.87,1.29
1/26/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,548303.00,81943883.35,1.22
1/26/2021,ARKW,"2U INC",TWOU,90214J101,1882940.00,80608661.40,1.20
1/26/2021,ARKW,"SALESFORCE.COM INC",CRM,79466L302,344943.00,78046803.18,1.17
1/26/2021,ARKW,"PELOTON INTERACTIVE INC-A",PTON,70614W100,502473.00,74260484.67,1.11
1/26/2021,ARKW,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,985710.00,74223963.00,1.11
1/26/2021,ARKW,"MERCADOLIBRE INC",MELI,58733R102,40697.00,73569594.78,1.10
1/26/2021,ARKW,"JD.COM INC-ADR",JD,47215P106,755319.00,73243283.43,1.09
1/26/2021,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,92883.00,72104144.07,1.08
1/26/2021,ARKW,"ADOBE INC",ADBE,00724F101,151579.00,72194046.12,1.08
1/26/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,2021340.00,71494795.80,1.07
1/26/2021,ARKW,"ADYEN NV-UNSPON ADR",ADYEY,00783V104,1568628.00,70854926.76,1.06
1/26/2021,ARKW,"TWITTER INC",TWTR,90184L102,1412246.00,70146258.82,1.05
1/26/2021,ARKW,"APPLE INC",AAPL,037833100,481530.00,68935834.80,1.03
1/26/2021,ARKW,"SYNOPSYS INC",SNPS,871607107,255315.00,67936768.35,1.01
1/26/2021,ARKW,"NANO DIMENSION LTD - ADR",NNDM,63008G203,4122740.00,64273516.60,0.96
1/26/2021,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,825634.00,63598587.02,0.95
1/26/2021,ARKW,"HUBSPOT INC",HUBS,443573100,163150.00,60750534.00,0.91
1/26/2021,ARKW,"CROWDSTRIKE HOLDINGS INC - A",CRWD,22788C105,292702.00,60530773.60,0.90
1/26/2021,ARKW,"ATLASSIAN CORP PLC-CLASS A",TEAM,G06242104,249836.00,55933283.68,0.84
1/26/2021,ARKW,"OKTA INC",OKTA,679295105,208249.00,53619952.52,0.80
1/26/2021,ARKW,"LENDINGCLUB CORP",LC,52603A208,4605038.00,52082979.78,0.78
1/26/2021,ARKW,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,505547.00,45160513.51,0.67
1/26/2021,ARKW,"SKILLZ INC",SKLZ,83067L109,963382.00,28641346.86,0.43
1/26/2021,ARKW,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,16406850.39,16406850.39,0.25
,,,,,,,
,,,,,,,
"The principal risks of investing in ARK ETFs include equity, market, management and non-diversification risks, as well as fluctuations in market value and net asset value ('NAV'). Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ETF before investing. This and other information are contained in each ETF's prospectus, which may be obtained by contacting the ETF's transfer agent The Bank of New York Mellon or by clicking here. Please read the prospectus carefully before you invest. The market price of ETF shares may differ significantly from their NAV during periods of market volatility. ETF shares may only be redeemed directly with the ETF at NAV by Authorized Participants, in very large creation units. Holdings are subject to change without notice and are not a recommendation to buy or sell any security. There can be no guarantee that an active trading market for ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Copyright 2021, ARK Investment Management LLC. All content is original and has been researched and produced by ARK Investment Management LLC unless otherwise stated. No part of this content may be reproduced in any form, or referred to in any other publication, without the express written permission of ARK Investment Management LLC. All statements made regarding companies, securities or other financial information on this site or any sites or articles relating to ARK Investment Management LLC are strictly beliefs and points of view held by ARK Investment Management and are subject to change without notice. Information contained herein has been obtained from sources believed to be reliable, but not guaranteed. This material has been distributed for informational purposes only and should not be considered as investment advice or a recommendation of any particular security, strategy or investment product.",,,,,,
