date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/25/2021,ARKW,"TESLA INC",TSLA,88160R101,739473.00,651327818.40,9.60
1/25/2021,ARKW,"ROKU INC",ROKU,77543R102,775985.00,331066240.40,4.88
1/25/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,1059065.00,304046970.85,4.48
1/25/2021,ARKW,"SQUARE INC - A",SQ,852234103,1170080.00,253486131.20,3.74
1/25/2021,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,2614409.00,250983264.00,3.70
1/25/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,6956099.00,229899071.95,3.39
1/25/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,599772.00,200089936.92,2.95
1/25/2021,ARKW,"NETFLIX INC",NFLX,64110L106,310919.00,173113480.82,2.55
1/25/2021,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,6536496.00,151908167.04,2.24
1/25/2021,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,545862.00,151755094.62,2.24
1/25/2021,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,1434531.00,150927006.51,2.22
1/25/2021,ARKW,"SEA LTD-ADR",SE,81141R100,633186.00,144796974.48,2.13
1/25/2021,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1957852.00,143647601.24,2.12
1/25/2021,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,553505.00,137130863.75,2.02
1/25/2021,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1217013.00,136865281.98,2.02
1/25/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,345753.00,135476397.99,2.00
1/25/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,348875.00,132572500.00,1.95
1/25/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,888491.00,130483788.26,1.92
1/25/2021,ARKW,"SNAP INC - A",SNAP,83304A106,2415363.00,129584224.95,1.91
1/25/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,105327.00,127015935.84,1.87
1/25/2021,ARKW,"HUYA INC-ADR",HUYA,44852D108,4710087.00,117705074.13,1.73
1/25/2021,ARKW,"LENDINGTREE INC","TREE UW",52603B107,354957.00,116429445.57,1.72
1/25/2021,ARKW,"DOCUSIGN INC",DOCU,256163106,453979.00,110952467.60,1.64
1/25/2021,ARKW,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,3985964.00,108936396.12,1.61
1/25/2021,ARKW,"BAIDU INC - SPON ADR",BIDU,056752108,425332.00,108404366.84,1.60
1/25/2021,ARKW,"PAGERDUTY INC",PD,69553P100,2226551.00,106985775.55,1.58
1/25/2021,ARKW,"KE HOLDINGS INC",BEKE,482497104,1448672.00,102565977.60,1.51
1/25/2021,ARKW,"AGORA INC-ADR",API,00851L103,2006956.00,94888879.68,1.40
1/25/2021,ARKW,"NVIDIA CORP",NVDA,67066G104,174047.00,95052288.11,1.40
1/25/2021,ARKW,"VERACYTE INC",VCYT,92337F107,1645791.00,91143905.58,1.34
1/25/2021,ARKW,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,684059.00,89283380.68,1.32
1/25/2021,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,323396.00,84529246.48,1.25
1/25/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,546296.00,82780232.88,1.22
1/25/2021,ARKW,"2U INC",TWOU,90214J101,1882940.00,81361837.40,1.20
1/25/2021,ARKW,"PELOTON INTERACTIVE INC-A",PTON,70614W100,500634.00,78669626.76,1.16
1/25/2021,ARKW,"SALESFORCE.COM INC",CRM,79466L302,343680.00,77644185.60,1.14
1/25/2021,ARKW,"MERCADOLIBRE INC",MELI,58733R102,40547.00,76228360.00,1.12
1/25/2021,ARKW,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,982104.00,74639904.00,1.10
1/25/2021,ARKW,"JD.COM INC-ADR",JD,47215P106,752556.00,74036459.28,1.09
1/25/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,2013945.00,72965227.35,1.08
1/25/2021,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,92544.00,72701640.96,1.07
1/25/2021,ARKW,"ADOBE INC",ADBE,00724F101,151024.00,71500802.56,1.05
